a → a(sim=36, freq=0), ɑ(sim=36, freq=1282), æ(sim=35, freq=1079), ɜ(sim=35, freq=0), e̞(sim=34, freq=0), ɐ(sim=34, freq=0), ə(sim=34, freq=3425), e(sim=34, freq=0), eə(sim=34, freq=0), ɘ(sim=34, freq=0)
aɪ → aɪ(sim=37, freq=2598), æɪ(sim=36, freq=0), ɪə(sim=36, freq=0), iə(sim=35, freq=0), ə(sim=34, freq=3425), ɪ(sim=34, freq=2420), ɛ(sim=34, freq=1468), ei(sim=34, freq=0), ɑe(sim=34, freq=0), eɪ(sim=34, freq=1111)
aʊ → aʊ(sim=37, freq=472), ʊə(sim=36, freq=0), əʊ(sim=36, freq=0), ɔɪ(sim=35, freq=7), æɔ(sim=35, freq=0), ɒɯ(sim=35, freq=0), oɪ(sim=34, freq=0), əʉ(sim=34, freq=0), æo(sim=34, freq=0), ɐʉ(sim=34, freq=0)
b → b(sim=37, freq=843), p(sim=36, freq=421), pʰ(sim=35, freq=0), m(sim=34, freq=1893), v(sim=34, freq=856), f(sim=33, freq=772), ʔ(sim=32, freq=0), d(sim=30, freq=2086), d̠ʒ(sim=29, freq=145), h(sim=29, freq=878)
d → d(sim=37, freq=2086), t(sim=36, freq=2775), tʰ(sim=35, freq=0), n(sim=34, freq=3187), z(sim=34, freq=1045), ð(sim=34, freq=983), ts(sim=34, freq=0), d̠ʒ(sim=33, freq=145), s(sim=33, freq=1927), θ(sim=33, freq=220)
eː → e(sim=37, freq=0), i(sim=36, freq=2090), e̞(sim=35, freq=0), ɛ(sim=35, freq=1468), ei(sim=35, freq=0), ɜ(sim=35, freq=0), æe(sim=35, freq=0), ɘ(sim=35, freq=0), æ(sim=34, freq=1079), ə(sim=34, freq=3425)
f → f(sim=37, freq=772), v(sim=36, freq=856), p(sim=34, freq=421), b(sim=33, freq=843), pʰ(sim=33, freq=0), h(sim=32, freq=878), m(sim=31, freq=1893), ʔ(sim=31, freq=0), s(sim=30, freq=1927), ʃ(sim=30, freq=173)
h → h(sim=37, freq=878), f(sim=32, freq=772), ʔ(sim=32, freq=0), pʰ(sim=31, freq=0), s(sim=31, freq=1927), v(sim=31, freq=856), ʃ(sim=31, freq=173), θ(sim=31, freq=220), tʰ(sim=30, freq=0), t̠ʃ(sim=30, freq=130)
iː → i(sim=37, freq=2090), e(sim=36, freq=0), ɪ(sim=35, freq=2420), iɪ(sim=35, freq=0), ei(sim=35, freq=0), e̞(sim=34, freq=0), ɛ(sim=34, freq=1468), ɜ(sim=34, freq=0), eɪ(sim=34, freq=1111), æe(sim=34, freq=0)
j → j(sim=37, freq=1198), i(sim=33, freq=2090), ɪ(sim=33, freq=2420), iɪ(sim=33, freq=0), ei(sim=33, freq=0), w(sim=32, freq=1378), e̞(sim=32, freq=0), eɪ̯(sim=32, freq=0), ɛ(sim=32, freq=1468), e(sim=32, freq=0)
k → k(sim=37, freq=943), kʰ(sim=36, freq=0), ɡ(sim=36, freq=540), kx(sim=36, freq=0), x(sim=35, freq=0), ŋ(sim=33, freq=705), ʔ(sim=31, freq=0), j(sim=29, freq=1198), p(sim=29, freq=421), b(sim=28, freq=843)
kʰ → kʰ(sim=37, freq=0), k(sim=36, freq=943), ɡ(sim=35, freq=540), kx(sim=35, freq=0), x(sim=34, freq=0), ŋ(sim=32, freq=705), ʔ(sim=30, freq=0), h(sim=29, freq=878), pʰ(sim=29, freq=0), ʍ(sim=29, freq=0)
l → l(sim=37, freq=2359), ɻ(sim=35, freq=0), r(sim=35, freq=0), n(sim=33, freq=3187), ɹ(sim=33, freq=2025), d(sim=32, freq=2086), z(sim=32, freq=1045), ð(sim=32, freq=983), s(sim=31, freq=1927), θ(sim=31, freq=220)
m → m(sim=37, freq=1893), b(sim=34, freq=843), p(sim=33, freq=421), pʰ(sim=32, freq=0), v(sim=32, freq=856), f(sim=31, freq=772), n(sim=30, freq=3187), ŋ(sim=29, freq=705), ʔ(sim=29, freq=0), d(sim=27, freq=2086)
